Player,wRC,through,Headshot,rank
"Goodwin, Hannah",4.909090909090909,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,5
"Goodwin, Hannah",1.6666666666666667,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,6
"Goodwin, Hannah",0.15384615384615385,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,11
"Goodwin, Hannah",5.761904761904762,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,5
"Goodwin, Hannah",2.210526315789474,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,3
"Goodwin, Hannah",0.7058823529411765,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,7
"Goodwin, Hannah",1.411764705882353,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/77.png?width=80,4
"Haislip, Haley",0,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,10
"Haislip, Haley",4.5,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,2
"Haislip, Haley",3.75,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,3
"Haislip, Haley",4.571428571428571,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,2
"Haislip, Haley",0,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,10
"Haislip, Haley",2.4,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,1.5
"Haislip, Haley",0,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,10.5
"Haislip, Haley",0,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,10
"Haislip, Haley",3,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,3.5
"Haislip, Haley",0,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/5.png?width=80,10
"Hasler, Amanda",5.6875,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,4
"Hasler, Amanda",3.6842105263157894,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,5
"Hasler, Amanda",1.0909090909090908,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,7
"Hasler, Amanda",8,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,2
"Hasler, Amanda",1.2,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,7
"Hasler, Amanda",1.6875,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,5
"Hasler, Amanda",0.47058823529411764,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,7
"Hasler, Amanda",0.5294117647058824,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,9
"Hasler, Amanda",5.3125,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,2
"Hasler, Amanda",4.117647058823529,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,3
"Hasler, Amanda",7.538461538461538,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,2
"Hasler, Amanda",6,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,1
"Hasler, Amanda",0.6923076923076923,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,7
"Hasler, Amanda",1.9285714285714286,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,4
"Hasler, Amanda",4.642857142857143,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,5
"Hasler, Amanda",0.8571428571428571,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,7
"Hasler, Amanda",5.055555555555555,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/3.png?width=80,4
"Inscoe, Madison",0.14285714285714285,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,11
"Inscoe, Madison",0.9230769230769231,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,6
"Inscoe, Madison",0.5263157894736842,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,9
"Inscoe, Madison",1,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,8
"Inscoe, Madison",0.5217391304347826,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,5
"Inscoe, Madison",3.15,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,6
"Inscoe, Madison",0.8181818181818182,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,6
"Inscoe, Madison",1,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,8
"Inscoe, Madison",0.16666666666666666,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,10
"Inscoe, Madison",3,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,8
"Inscoe, Madison",0.9473684210526315,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,6
"Inscoe, Madison",0.4444444444444444,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,10
"Inscoe, Madison",3.789473684210526,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,7
"Inscoe, Madison",4,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,6
"Inscoe, Madison",0.3333333333333333,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,8
"Inscoe, Madison",1.3333333333333333,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,5.5
"Inscoe, Madison",3.130434782608696,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/21.png?width=80,8
"Lambrecht, Kaylee",0,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,12.5
"Lambrecht, Kaylee",0.2727272727272727,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,10
"Lambrecht, Kaylee",1.6666666666666667,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,5
"Lambrecht, Kaylee",0.42105263157894735,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,8
"Lambrecht, Kaylee",0.5454545454545454,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,8
"Lambrecht, Kaylee",2.1,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,9
"Lambrecht, Kaylee",0.21428571428571427,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,9
"Lambrecht, Kaylee",1.7647058823529411,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,5
"Lambrecht, Kaylee",1.125,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,9
"Lambrecht, Kaylee",0,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,12.5
"Lambrecht, Kaylee",1.1764705882352942,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,5
"Lambrecht, Kaylee",1.6470588235294117,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,9
"Lambrecht, Kaylee",0.42857142857142855,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/15.png?width=80,7
"Marbury, Makayla",3.4285714285714284,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,3
"Marbury, Makayla",0.9,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,8
"Marbury, Makayla",1.5,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,7
"Marbury, Makayla",2.8,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,5
"Marbury, Makayla",0.7692307692307693,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,7
"Marbury, Makayla",3.4615384615384617,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,7
"Marbury, Makayla",5.625,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,1
"Marbury, Makayla",0.5,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,9
"Marbury, Makayla",0,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,11.5
"Marbury, Makayla",3.3333333333333335,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,7
"Marbury, Makayla",5.041666666666667,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,1
"Marbury, Makayla",1.8461538461538463,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,7
"Marbury, Makayla",4.95,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,2
"Marbury, Makayla",2.1,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,4
"Marbury, Makayla",3.0434782608695654,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,8
"Marbury, Makayla",0,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,9
"Marbury, Makayla",2.1875,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/20.png?width=80,3
"Murray, Rebecca",5.217391304347826,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,5
"Murray, Rebecca",8.380952380952381,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",6.7407407407407405,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,3
"Murray, Rebecca",4.583333333333333,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",4.4,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,2
"Murray, Rebecca",8.181818181818182,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",3.0476190476190474,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,3
"Murray, Rebecca",6.25,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",3.8095238095238093,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,2
"Murray, Rebecca",6.695652173913044,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",1,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,6
"Murray, Rebecca",2.6666666666666665,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,3
"Murray, Rebecca",0.8571428571428571,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,6
"Murray, Rebecca",4,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",5.833333333333333,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,5
"Murray, Rebecca",7.913043478260869,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,1
"Murray, Rebecca",2.739130434782609,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/42.png?width=80,2
"Pavlick, Katlyn",3.0625,16,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,3
"Pavlick, Katlyn",4.052631578947368,17,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,4
"Pavlick, Katlyn",3.1578947368421053,18,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,5
"Pavlick, Katlyn",1.4285714285714286,12,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,7
"Pavlick, Katlyn",10.4,8,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,1
"Pavlick, Katlyn",2.0588235294117645,15,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,4
"Pavlick, Katlyn",1.5789473684210527,19,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,8
"Pavlick, Katlyn",9.36,9,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,1
"Pavlick, Katlyn",2.823529411764706,5,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,2
"Pavlick, Katlyn",3,20,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,3.5
"Pavlick, Katlyn",10.588235294117647,7,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,1
"Pavlick, Katlyn",2.4,21,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,1.5
"Pavlick, Katlyn",5.318181818181818,11,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,6
"Pavlick, Katlyn",5.333333333333333,10,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,6
"Pavlick, Katlyn",1.6666666666666667,13,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,7
"Pavlick, Katlyn",1.7647058823529411,14,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,3
"Pavlick, Katlyn",3.7333333333333334,6,https://d1qkubt1nbt8w1.cloudfront.net/images/2022/9/11/27.png?width=80,1
