rank,home_team_logo,player,wOBA,OBP,OPS,SOr
1,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/235.gif,Skylar Wallace,0.8181977495368594,0.6153846153846154,1.6644042232277527,0.09259259259259259
2,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/334.gif,Erin Coffel,0.766138030587493,0.6095890410958904,1.6095890410958904,0.1414141414141414
3,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/694.gif,Kiki Milloy,0.686717636836196,0.5578231292517006,1.5488945578231292,0.1864406779661017
4,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/66.gif,Kelsey Hall,0.6763312613476187,0.5365853658536586,1.5981238273921201,0.17647058823529413
5,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/257.gif,Jayda Kearney,0.6642667810014109,0.5,1.4,0.1746031746031746
6,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/306.gif,Taryn Kern,0.6571964619737091,0.559748427672956,1.5336614711512169,0.20300751879699247
7,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/522.gif,Jayda Coleman,0.6504275400197722,0.5928571428571429,1.4900534045393858,0.07272727272727272
8,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/522.gif,Haley Lee,0.6425835266137178,0.5284552845528455,1.4096434033647267,0.06862745098039216
9,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/388.gif,Autumn Owen,0.629922288435704,0.5664335664335665,1.5297363187271444,0.09565217391304348
10,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/671.gif,Lauren Allred,0.6263916246848854,0.48314606741573035,1.2263893106589736,0.02564102564102564
11,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/434.gif,Alex Honnold,0.619344738941683,0.5323741007194245,1.3612029295482533,0.14655172413793102
12,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/513.gif,Karina Gaskins,0.6096596075450773,0.524822695035461,1.3533941236068896,0.1574074074074074
13,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/414.gif,Jenna Golembiewski,0.6080406076664621,0.425531914893617,1.1976838136277943,0.25925925925925924
14,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/458.gif,Bailey Vannoy,0.6079833256547723,0.5033557046979866,1.2760829774252593,0.12195121951219512
15,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/28.gif,Jordyn VanHook,0.6076045951926138,0.4132231404958678,1.251318378591106,0.24528301886792453
16,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/504.gif,Mya Dodge,0.6075195214961329,0.4672131147540984,1.2172131147540983,0.11320754716981132
17,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/31.gif,Rylin Hedgecock,0.6051085852018002,0.4605263157894737,1.2638050043140638,0.17829457364341086
18,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/110.gif,Maya Brady,0.6008505975587629,0.5174825174825175,1.4294825174825174,0.10317460317460317
19,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/522.gif,Alyssa Brito,0.5996246498030381,0.49107142857142855,1.2710714285714286,0.11538461538461539
20,http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/694.gif,McKenna Gibson,0.5977384375857474,0.4931506849315068,1.2738524393174717,0.1732283464566929
