no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
0,Amayiah,Hall,Sophomore,OF,54,62,49,6,7,0.887,1,0,0,0,0,0,Butler,1
15,Kendyl,Anderson,Sophomore,INF,55,51,48,1,2,0.961,2,0,0,0,0,0,Butler,1
12,Ryanna,Valdivia,Sophomore,IF,57,111,46,53,12,0.892,0,0,0,0,0,0,Butler,1
6,Madi,Divis,Freshman,C/INF,29,22,20,2,0,1,0,3,0,0,0,0,Butler,1
10,Mallory,Young,Freshman,UTL,37,11,9,1,1,0.909,0,0,0,0,0,0,Butler,1
24,Emma,Koeneke,Sophomore,RHP,33,32,5,26,1,0.969,1,6,1,0.143,0,0,Butler,1
7,Allyson,Montgomery,Sophomore,RHP,37,9,1,7,1,0.889,0,10,4,0.286,0,0,Butler,1
34,Ariel,Matula,Sophomore,RHP,21,13,0,12,1,0.923,0,1,1,0.5,0,0,Butler,1
5,Lena,Walter,Freshman,RHP/INF,24,10,0,9,1,0.9,0,5,1,0.167,0,0,Butler,1
21,Emily,Sauvageau,Freshman,INF,52,278,266,5,7,0.975,6,0,0,0,0,0,Colby,1
99,Kaycee,Valencia,Sophomore,C/UTL,51,246,241,5,0,1,1,11,0,0,0,0,Colby,1
3,Ashley,Emhoff,Freshman,C/OF,27,83,77,2,4,0.952,0,6,1,0.143,0,0,Colby,1
5,Kiley,Avery,Sophomore,OF,53,81,76,1,4,0.951,0,0,0,0,0,0,Colby,1
33,Shailey,Clark,Sophomore,INF,53,140,56,75,9,0.936,3,0,0,0,0,0,Colby,1
22,Kaylee,Armstrong,Sophomore,IF/UTL,52,119,45,63,11,0.908,4,0,0,0,0,0,Colby,1
10,Reese,Mansur,Freshman,OF,48,46,40,4,2,0.957,1,0,0,0,0,0,Colby,1
7,Madi,Jorgensen,Freshman,OF/MI,50,65,35,23,7,0.892,2,0,0,0,0,0,Colby,1
18,Addi,Christiansen,Sophomore,OF/IF,47,37,32,1,4,0.892,0,0,0,0,0,0,Colby,1
2,Kaylee,Sheets,Freshman,MI,50,72,30,36,6,0.917,1,0,0,0,0,0,Colby,1
6,Ellie,Garrie,Freshman,MI/OF,42,21,17,3,1,0.952,1,0,0,0,0,0,Colby,1
20,Alexa,Wade,Sophomore,P/1B,36,41,13,27,1,0.976,2,11,0,0,0,0,Colby,1
9,Emily,Davis,Freshman,C/OF,31,12,12,0,0,1,0,0,0,0,0,0,Colby,1
34,Abby,Sims,Sophomore,P/OF,38,42,10,31,1,0.976,1,6,1,0.143,0,0,Colby,1
4,Karcin,Regier,Freshman,MI,33,15,7,4,4,0.733,1,0,0,0,0,0,Colby,1
22,Addison,Spencer,Sophomore,INF,49,293,285,5,3,0.99,5,0,0,0,0,0,Dodge City,1
8,Rylie,Hufford,Freshman,C/INF,44,142,129,11,2,0.986,1,61,6,0.09,12,0,Dodge City,1
2,Melanie,Castro,Sophomore,INF,47,193,81,104,8,0.959,5,0,0,0,0,0,Dodge City,1
25,Izabella,Mikelson,Freshman,OF,42,61,55,2,4,0.934,0,0,0,0,0,0,Dodge City,1
9,Jaden,Nagle,Sophomore,INF,44,111,52,48,11,0.901,8,0,0,0,0,0,Dodge City,1
12,Reneau,Ratzlaff,Freshman,OF,44,62,50,2,10,0.839,0,0,0,0,0,0,Dodge City,1
26,Madison,Kacer,Freshman,C,45,80,41,31,8,0.9,0,11,2,0.154,2,0,Dodge City,1
4,Raemie,Lopp,Sophomore,P,24,40,37,2,1,0.975,1,0,0,0,0,0,Dodge City,1
13,Camryn,Lenz,Freshman,OF,45,106,31,69,6,0.943,6,2,0,0,0,0,Dodge City,1
7,Mia,Golka,Freshman,OF,24,23,19,1,3,0.87,0,0,0,0,0,0,Dodge City,1
24,Alicyn,O'Neill,Sophomore,P/OF,22,23,19,0,4,0.826,0,0,0,0,0,0,Dodge City,1
11,Dalaney,Utajara,Freshman,P/INF,34,26,9,16,1,0.962,1,4,0,0,0,0,Dodge City,1
6,K'Lee,Flores,Sophomore,P,43,26,5,16,5,0.808,1,8,2,0.2,0,0,Dodge City,1
5,Jazlynn,Vaquera,Freshman,INF,6,12,5,5,2,0.833,0,0,0,0,0,0,Dodge City,1
1,Ariana,Jimenez,Freshman,OF,9,2,0,0,2,0,0,0,0,0,0,0,Dodge City,1
28,Jaciana,Rivera,Freshman,INF,23,6,0,3,3,0.5,0,0,0,0,0,0,Dodge City,1
24,Gracie,Bishop,Freshman,1B,47,243,217,13,13,0.947,11,0,0,0,0,0,Garden City,1
23,Cadence,Mallet,Freshman,C,49,159,106,35,18,0.887,4,14,0,0,1,0,Garden City,1
22,Keely,Porter,Sophomore,C/3B,34,112,75,24,13,0.884,2,15,2,0.118,0,0,Garden City,1
20,Alanna,Neilsen,Sophomore,MI,48,126,57,40,29,0.77,2,0,0,0,0,0,Garden City,1
25,Mereith,Robinson,Freshman,C,42,63,54,4,5,0.921,0,16,1,0.059,2,0,Garden City,1
14,Shiloh,Johnson,Freshman,MI,51,149,50,82,17,0.886,6,0,0,0,0,0,Garden City,1
3,Savanna,Griebling,Sophomore,C/OF,36,51,49,2,0,1,0,0,0,0,0,0,Garden City,1
19,Kelsi,Gaston,Freshman,CR,45,91,48,34,9,0.901,4,0,0,0,0,0,Garden City,1
9,Jasmine,Hall,Freshman,UT,33,90,47,32,11,0.878,6,0,0,0,0,0,Garden City,1
2,Alexis,Garcia,Sophomore,P/OF,43,101,37,64,0,1,2,0,0,0,0,0,Garden City,1
11,Jesykah,Foster,Freshman,OF,36,43,34,1,8,0.814,0,0,0,0,0,0,Garden City,1
10,Tori,Olson,Freshman,P/OF,39,75,25,43,7,0.907,0,3,1,0.25,0,0,Garden City,1
13,Madison,Mays,Freshman,UT,13,11,9,0,2,0.818,0,0,0,0,0,0,Garden City,1
18,CJ,Sherman,Freshman,P,34,67,9,56,2,0.97,1,2,1,0.333,0,0,Garden City,1
21,Taya,Brickner,Freshman,OF,17,6,6,0,0,1,0,0,0,0,0,0,Garden City,1
17,Hannah,Burns,Freshman,UT,14,10,4,4,2,0.8,0,0,0,0,0,0,Garden City,1
15,Maggie,Geise,Freshman,P,26,28,2,26,0,1,0,0,0,0,0,0,Garden City,1
12,Lacey,Kearlsey,Sophomore,P/1B,19,32,1,29,2,0.938,0,1,0,0,0,0,Garden City,1
16,Allie,Stipsits,Sophomore,C,50,327,311,13,3,0.991,1,36,5,0.122,6,0,Hutchinson,1
5,Aspen,Goetz,Sophomore,IF,52,305,292,9,4,0.987,9,0,0,0,0,0,Hutchinson,1
