no,first_name,last_name,yr,pos,g,tc,po,a,e,fpct,dp,sba,rcs,rcs_percent,pb,ci,team_name,division
3,Gracelyn,Teer,Freshman,Utility,17,27,26,0,1,0.963,0,0,0,0,0,0,Florence-Darlington Tech,1
23,Michaela,Smith,Sophomore,OF,22,30,25,2,3,0.9,0,0,0,0,0,0,Florence-Darlington Tech,1
19,Madison,Rainwater,Freshman,1st/3rd,27,25,17,0,8,0.68,0,0,0,0,0,0,Florence-Darlington Tech,1
14,Kiley,Holland,Freshman,RHP,19,11,9,1,1,0.909,0,0,0,0,0,0,Florence-Darlington Tech,1
25,Allison,Carter,Freshman,1st,42,5,5,0,0,1,0,0,0,0,0,0,Florence-Darlington Tech,1
7,Mary,Smith,Jr,OF,14,11,5,3,3,0.727,0,0,0,0,0,0,Florence-Darlington Tech,1
30,Brynn,Dalton,Freshman,OF,6,6,3,2,1,0.833,0,0,0,0,0,0,Florence-Darlington Tech,1
5,Gracie,Brown,Freshman,,50,411,395,11,5,0.988,1,19,5,0.208,28,0,Gaston College,1
30,Serena,Yalich,Sophomore,,53,278,252,20,6,0.978,7,0,0,0,0,0,Gaston College,1
11,Logan,Lilly,Freshman,,53,165,73,82,10,0.939,3,0,0,0,0,0,Gaston College,1
17,Asheton,Queen,Sophomore,,53,182,64,86,32,0.824,8,0,0,0,4,0,Gaston College,1
21,Gabrielle,Porterfield,Freshman,,53,61,53,0,8,0.869,1,0,0,0,0,0,Gaston College,1
12,Brantleigh,Parrott,Freshman,,51,65,38,24,3,0.954,1,3,3,0.5,0,0,Gaston College,1
22,Grace,Manning,Freshman,,52,46,37,4,5,0.891,0,0,0,0,0,0,Gaston College,1
10,Haylee,Salter,Freshman,,51,116,37,68,11,0.905,2,0,0,0,0,0,Gaston College,1
24,Kinsey,Johnson,Freshman,,17,28,26,2,0,1,3,0,0,0,0,0,Gaston College,1
3,McKenzie,Plaskin,Sophomore,1B-OF,44,23,21,2,0,1,0,2,0,0,2,0,Gaston College,1
2,Jailyn,Tineo,Sophomore,C,6,25,15,9,1,0.96,0,0,0,0,2,0,Gaston College,1
27,Amiya,Tomlinson,Freshman,,31,19,8,7,4,0.789,0,17,1,0.056,0,0,Gaston College,1
18,Tessa,Hunt,Freshman,,44,26,6,18,2,0.923,2,12,1,0.077,0,0,Gaston College,1
2,Abbegale,Miller,Sophomore,C/UT,24,99,97,2,0,1,0,13,6,0.316,2,0,Spartanburg Methodist,1
4,Ty,Gist,Sophomore,UT,33,133,92,20,21,0.842,1,0,0,0,0,0,Spartanburg Methodist,1
23,Isabella,Duron,Jr,CIF,32,96,86,3,7,0.927,0,0,0,0,0,0,Spartanburg Methodist,1
3,Mckensleigh,Parnell,Freshman,OF/MIF,43,82,72,2,8,0.902,0,0,0,0,0,0,Spartanburg Methodist,1
1,Danielle,Merritt,Sophomore,OF,35,57,57,0,0,1,0,0,0,0,0,0,Spartanburg Methodist,1
6,Hannah,Maddox,Sophomore,MIF/OF,35,79,54,14,11,0.861,1,0,0,0,0,0,Spartanburg Methodist,1
14,Jacie,Ross,Freshman,2B/OF,32,82,53,19,10,0.878,0,0,0,0,0,0,Spartanburg Methodist,1
44,Kayla,Holseberg,Sophomore,SS,28,79,50,14,15,0.81,0,0,0,0,0,0,Spartanburg Methodist,1
35,Reine,Wood,Sophomore,3B/C,35,52,47,3,2,0.962,0,12,1,0.077,3,0,Spartanburg Methodist,1
16,Gracie,Cobb,Sophomore,1B/P,27,48,45,0,3,0.938,1,0,0,0,0,0,Spartanburg Methodist,1
25,Madie,Andrews,Sophomore,P/1B,31,45,36,9,0,1,0,0,0,0,0,0,Spartanburg Methodist,1
20,Kyleigh,Thompson,Freshman,OF/1B,28,36,32,0,4,0.889,0,0,0,0,0,0,Spartanburg Methodist,1
39,Reagen,White,Sophomore,3B/C,23,37,26,7,4,0.892,0,5,0,0,0,0,Spartanburg Methodist,1
8,Samantha,Carver,Sophomore,P/2B,24,31,23,8,0,1,0,3,0,0,0,0,Spartanburg Methodist,1
11,Abi,Harrawood,Freshman,C/UT,12,23,22,0,1,0.957,1,0,0,0,0,0,Spartanburg Methodist,1
30,Kaylee,Johnson,Sophomore,OF,13,20,18,0,2,0.9,0,0,0,0,0,0,Spartanburg Methodist,1
5,Hannah,McDonaugh,Jr,OF,13,14,14,0,0,1,0,0,0,0,0,0,Spartanburg Methodist,1
33,Kennedy,Broyles,Freshman,P/CIF,10,14,12,1,1,0.929,1,0,0,0,0,0,Spartanburg Methodist,1
32,Mycah,Baker,Freshman,CIF,5,5,5,0,0,1,0,0,0,0,0,0,Spartanburg Methodist,1
13,Samantha,Glass,Freshman,SS/OF,12,6,5,0,1,0.833,0,0,0,0,0,0,Spartanburg Methodist,1
28,Caroline,Rumsey,Freshman,OF,2,2,2,0,0,1,0,0,0,0,0,0,Spartanburg Methodist,1
21,Katherine Grace,Judy,Sophomore,C,30,114,76,24,14,0.877,3,14,1,0.067,5,4,USC Sumter,1
26,Bethany,Reep,Freshman,1st,30,111,74,29,8,0.928,8,0,0,0,0,0,USC Sumter,1
5,Kyleigh,Hough,Freshman,OF,28,80,68,2,10,0.875,1,0,0,0,0,0,USC Sumter,1
25,Autumn,Hamilton,Sophomore,1st,23,74,66,3,5,0.932,5,0,0,0,0,0,USC Sumter,1
22,Caleigh,Powell,Sophomore,UT,30,100,58,25,17,0.83,3,14,3,0.176,9,0,USC Sumter,1
19,Chloe,Dunlap,Freshman,UT,24,78,55,15,8,0.897,3,22,2,0.083,3,2,USC Sumter,1
27,Madison,Starling-Martin,Freshman,3rd,30,69,55,9,5,0.928,0,0,0,0,2,0,USC Sumter,1
1,Payton,Richardson,Sophomore,OF,28,38,29,1,8,0.789,0,0,0,0,0,0,USC Sumter,1
17,Kaylee,Barrett,Freshman,2nd/RHP,27,46,20,22,4,0.913,2,6,1,0.143,0,0,USC Sumter,1
29,Aubrey,Brown,Sophomore,RHP,23,40,9,21,10,0.75,1,6,1,0.143,0,0,USC Sumter,1
18,Savannah,Coyne,,RHP/UT,24,17,7,7,3,0.824,3,1,0,0,0,0,USC Sumter,1
11,Haleigh,Keziah,Freshman,UT,2,1,1,0,0,1,0,0,0,0,0,0,USC Sumter,1
30,Hannah,Truett,Sophomore,C,46,248,221,21,6,0.976,0,27,12,0.308,0,0,USC Union,1
50,Molly,Winstead,Sophomore,"C, 3rd",37,171,151,11,9,0.947,2,0,0,0,0,0,USC Union,1
9,Bianca,Campos,Freshman,"OF, 2nd",42,121,91,20,10,0.917,1,0,0,0,0,0,USC Union,1
11,Ansley,Connelly,Sophomore,1st,21,90,84,1,5,0.944,1,0,0,0,0,0,USC Union,1
23,Gracie,Starnes,Freshman,"OF, RHP",44,97,83,6,8,0.918,0,1,0,0,0,0,USC Union,1
2,Madison,Truett,Sophomore,SS,45,170,76,74,20,0.882,4,0,0,0,0,0,USC Union,1
16,Madison,Goossens,Freshman,C. 3rd,44,158,75,65,18,0.886,3,0,0,0,0,0,USC Union,1
4,Matigan,Nettles,Freshman,OF,40,74,65,5,4,0.946,0,0,0,0,0,0,USC Union,1
18,DeAnna,Sweat,Freshman,Utl,44,54,48,2,4,0.926,1,0,0,0,0,0,USC Union,1
13,Alexandra,Bell,Sophomore,RHP,25,34,16,15,3,0.912,2,1,1,0.5,0,0,USC Union,1
5,Emma,Chapman,Freshman,"2nd, OF",30,35,15,12,8,0.771,0,0,0,0,0,0,USC Union,1
27,Brianna,Compton,Freshman,RHP/UTL,24,32,12,17,3,0.906,0,3,0,0,0,0,USC Union,1
20,Karsyn,Sprouse,Sophomore,OF,14,12,10,1,1,0.917,0,0,0,0,0,0,USC Union,1
8,Sophie,Caley,Freshman,"2nd, C",19,10,6,4,0,1,0,0,0,0,0,0,USC Union,1
15,Gillian,Hughes,Freshman,RHP,16,8,2,6,0,1,0,2,0,0,0,0,USC Union,1
7,Katelyn,Turner,Freshman,LHP,11,5,1,3,1,0.8,0,0,0,0,0,0,USC Union,1
22,Sydney,Anderson,Sophomore,C/1B,55,337,302,28,7,0.979,9,6,1,0.143,1,0,Indian Hills,1
13,Jenna,Lemley,Freshman,C,37,167,147,18,2,0.988,1,30,6,0.167,19,0,Indian Hills,1
9,Hannah,Simpson,Freshman,1B,37,130,121,4,5,0.962,4,0,0,0,0,0,Indian Hills,1
24,Jensyn,Jones,Freshman,C,39,94,90,4,0,1,2,16,2,0.111,2,0,Indian Hills,1
7,Destiny,Lewis,Sophomore,3B/SS,54,188,80,98,10,0.947,8,0,0,0,0,0,Indian Hills,1
5,Abby,Martin,Freshman,UTL,51,184,69,103,12,0.935,12,0,0,0,0,0,Indian Hills,1
12,Eva,Fulk,Freshman,OF,57,66,57,3,6,0.909,1,0,0,0,0,0,Indian Hills,1
10,Tatum,Aragon,Freshman,UTL,57,50,46,0,4,0.92,0,0,0,0,0,0,Indian Hills,1
3,TJ,Stoaks,Sophomore,OF/RHP,57,73,42,26,5,0.932,3,1,0,0,0,0,Indian Hills,1
25,Carly,Campbell,Sophomore,C/OF,34,25,21,3,1,0.96,0,5,1,0.167,5,0,Indian Hills,1
14,Claire,Tipton,Freshman,UTL,45,76,21,47,8,0.895,3,0,0,0,0,0,Indian Hills,1
15,Abbi,Cataldo,Sophomore,OF,26,22,17,1,4,0.818,0,0,0,0,0,0,Indian Hills,1
19,Claire,Mathews,Sophomore,INF,5,14,9,4,1,0.929,3,0,0,0,0,0,Indian Hills,1
2,Sydney,McNeeley,Sophomore,OF,23,12,9,3,0,1,0,0,0,0,0,0,Indian Hills,1
11,Ryann,Cheek,Sophomore,LHP,24,18,5,11,2,0.889,0,2,0,0,0,0,Indian Hills,1
18,Julia,Kwakernaak,Freshman,5'6,45,10,5,5,0,1,1,0,0,0,0,0,Indian Hills,1
20,Madie,Anderson,Sophomore,RHP,30,28,4,23,1,0.964,1,6,0,0,0,0,Indian Hills,1
8,Sara,Reid,Freshman,RHP,23,20,4,16,0,1,0,5,0,0,0,0,Indian Hills,1
4,Jill,Smith,Freshman,INF,25,12,4,4,4,0.667,2,0,0,0,0,0,Indian Hills,1
6,Thea,Banning,Freshman,RHP,19,18,1,17,0,1,1,2,0,0,0,0,Indian Hills,1
18,Alex,Stoner,Freshman,3B/1B,41,263,249,6,8,0.97,0,0,0,0,0,0,Iowa Western,1
14,Cydnee,Schneider,Freshman,C,41,239,214,18,7,0.971,0,28,5,0.152,10,0,Iowa Western,1
2,Moira,Baxter,Freshman,UTL,41,124,56,60,8,0.935,0,0,0,0,0,0,Iowa Western,1
11,Tahjzha,Botts,Sophomore,C/UTL,38,57,52,3,2,0.965,0,1,0,0,6,0,Iowa Western,1
6,Ella,Fitzpatrick,Freshman,OF,40,41,39,2,0,1,0,0,0,0,0,0,Iowa Western,1
9,Jessica,Meisinger,Freshman,MI,32,90,29,50,11,0.878,0,0,0,0,0,0,Iowa Western,1
13,Olivia,Kyes,Sophomore,IF,41,118,23,88,7,0.941,1,0,0,0,0,0,Iowa Western,1
10,Camryn,Sterling,Freshman,OF,31,25,23,0,2,0.92,0,0,0,0,0,0,Iowa Western,1
22,Erin,Gunn,Freshman,OF,31,14,13,0,1,0.929,0,0,0,0,0,0,Iowa Western,1
32,Allie,Boles,Sophomore,MI,15,31,12,15,4,0.871,0,0,0,0,0,0,Iowa Western,1
5,Mattea,Martin,Freshman,RF,41,9,9,0,0,1,0,0,0,0,0,0,Iowa Western,1
12,Maddison,Depencier,Freshman,RHP,27,14,5,9,0,1,0,0,0,0,0,0,Iowa Western,1
3,Erin,Kirkland,Freshman,RHP,23,25,3,20,2,0.92,0,1,0,0,0,0,Iowa Western,1
4,Jacee,Carlow,Freshman,RHP,20,10,1,7,2,0.8,0,0,0,0,0,0,Iowa Western,1
39,Desirae,Hibbert,Freshman,OF,5,2,1,0,1,0.5,0,0,0,0,0,0,Iowa Western,1
19,Kiley,McConville,Sophomore,,44,179,172,4,3,0.983,6,0,0,0,0,0,Southeastern,1
11,Taryn,Moehler,Freshman,,43,172,162,5,5,0.971,0,52,1,0.019,13,0,Southeastern,1
7,Kisbel,Vizcaya,Sophomore,IF,44,106,92,9,5,0.953,1,1,0,0,1,0,Southeastern,1
8,Mady,Reed,Sophomore,INF/OF,44,95,83,9,3,0.968,2,0,0,0,0,0,Southeastern,1
2,Tayler,Braun,Freshman,,43,143,77,56,10,0.93,5,0,0,0,0,0,Southeastern,1
14,Haley,Nelson,Freshman,,42,111,67,35,9,0.919,0,0,0,0,0,0,Southeastern,1
3,Kylie,Schult,Freshman,,44,89,44,42,3,0.966,1,6,1,0.143,0,0,Southeastern,1
18,Emma,Kerr,Freshman,,38,45,38,4,3,0.933,0,0,0,0,0,0,Southeastern,1
4,Jessica,Alvaro,Sophomore,OF,37,34,28,1,5,0.853,1,0,0,0,0,0,Southeastern,1
17,Kayla,Norton,Sophomore,P,25,41,14,25,2,0.951,1,10,0,0,0,0,Southeastern,1
20,Cara,Linnenkamp,Sophomore,P/3B,44,27,11,14,2,0.926,0,5,0,0,0,0,Southeastern,1
15,Mikayla,Doucette,Freshman,,22,4,2,1,1,0.75,0,0,0,0,0,0,Southeastern,1
10,RyLee,German,Freshman,IF,1,1,1,0,0,1,0,0,0,0,0,0,Southeastern,1
27,Halsie,Barnes,Freshman,1B,42,267,256,5,6,0.978,2,0,0,0,0,0,Southwestern,1
13,Jennifer,Katz,Sophomore,,48,92,85,2,5,0.946,0,1,0,0,0,0,Southwestern,1
55,Peyton,Rice,Sophomore,,41,100,80,12,8,0.92,0,14,0,0,3,0,Southwestern,1
7,Abbi,Conrad,Sophomore,IF,48,162,77,76,9,0.944,1,0,0,0,0,0,Southwestern,1
23,Julia,Schechinger,Sophomore,OF,48,76,69,2,5,0.934,0,0,0,0,0,0,Southwestern,1
15,Gabriella,Newman,Sophomore,IF,48,199,68,118,13,0.935,1,0,0,0,0,0,Southwestern,1
2,Shey,Storesund,Sophomore,OF,45,66,64,2,0,1,0,0,0,0,0,0,Southwestern,1
4,Ashton,Willis,Freshman,,47,125,41,76,8,0.936,1,0,0,0,0,0,Southwestern,1
89,Bethany,Wright,Freshman,3B,21,34,28,1,5,0.853,0,10,0,0,1,0,Southwestern,1
3,Lauren,Schneider,Freshman,,32,26,20,1,5,0.808,0,0,0,0,0,0,Southwestern,1
29,Emily,McIntosh,Sophomore,RHP,39,30,19,11,0,1,0,1,0,0,0,0,Southwestern,1
12,Taryn,Ganstrom,Freshman,,47,40,11,26,3,0.925,0,5,0,0,0,0,Southwestern,1
8,Haylee,Meyer,Sophomore,,11,7,2,0,5,0.286,0,0,0,0,0,0,Southwestern,1
24,Bel,Lopez,Freshman,C,37,146,137,4,5,0.966,13,0,0,0,0,0,Alvin,1
30,Kasen,Morkisch,Freshman,OF,48,97,88,8,1,0.99,4,0,0,0,0,0,Alvin,1
14,Maggie,Blythe,Freshman,1B,32,104,77,21,6,0.942,5,0,0,0,0,0,Alvin,1
21,Liberty,Herrera,Sophomore,C,48,89,74,12,3,0.966,3,32,3,0.086,6,0,Alvin,1
11,Yliana,Kuykendall,Freshman,2B,42,143,73,59,11,0.923,8,0,0,0,0,0,Alvin,1
3,Alasia,Haines,Freshman,OF,44,72,64,4,4,0.944,1,0,0,0,0,0,Alvin,1
18,Menina,Cavazos,Sophomore,1B,21,66,62,4,0,1,1,0,0,0,0,0,Alvin,1
9,Alyssa,Pena,Sophomore,C,45,67,57,9,1,0.985,1,33,4,0.108,5,0,Alvin,1
33,Tavery,Ortiz,Sophomore,3B,47,146,52,86,8,0.945,9,0,0,0,0,0,Alvin,1
17,Kaleiah,Tatlonghari,Sophomore,SS,43,127,45,68,14,0.89,4,0,0,0,0,0,Alvin,1
40,J'lailah,Dotson,Freshman,OF,40,38,31,4,3,0.921,1,0,0,0,0,0,Alvin,1
1,Zoyie,Smith,Sophomore,SS,24,47,24,16,7,0.851,5,0,0,0,0,0,Alvin,1
22,Haily,Villarreal,Sophomore,OF,27,28,24,1,3,0.893,0,0,0,0,0,0,Alvin,1
13,Alexis,Obregon,Sophomore,P,28,25,6,19,0,1,2,2,0,0,0,0,Alvin,1
15,Abby,House,Freshman,P,21,10,3,5,2,0.8,0,0,0,0,0,0,Alvin,1
10,Hayley,Calhoun,Freshman,P,22,15,1,13,1,0.933,1,2,1,0.333,0,0,Alvin,1
16,Celeste,Gonzales,Freshman,P,21,11,1,9,1,0.909,0,1,1,0.5,0,0,Alvin,1
20,Bailey,Frenzel,Sophomore,UTL,49,274,256,12,6,0.978,2,0,0,0,0,0,Angelina,1
8,Madison,Baker,Sophomore,C,50,265,241,19,5,0.981,4,28,9,0.243,6,2,Angelina,1
14,Skyler,Martin,Freshman,C/IF,47,105,96,6,3,0.971,0,14,2,0.125,4,0,Angelina,1
1,Hailey,Fuentes,Sophomore,,46,234,91,130,13,0.944,5,0,0,0,0,0,Angelina,1
6,Alyssa,Collazo,Sophomore,IF,50,158,58,86,14,0.911,0,0,0,0,0,0,Angelina,1
15,Kaetlyn,Dunbar,Freshman,UTL/P,50,71,53,14,4,0.944,0,0,0,0,0,0,Angelina,1
12,Lace,Tangianau,Sophomore,IF,49,193,52,107,34,0.824,1,0,0,0,0,0,Angelina,1
2,Brynn,Davis,Freshman,,50,52,45,5,2,0.962,0,0,0,0,0,0,Angelina,1
3,Emma,Kovasovic,Freshman,UTL,42,38,31,1,6,0.842,0,0,0,0,0,0,Angelina,1
24,Haley,Primrose,Sophomore,P/UTL,40,42,20,18,4,0.905,0,0,0,0,0,0,Angelina,1
10,Mia,Gilmore,Sophomore,P,30,46,5,35,6,0.87,1,0,1,1,0,0,Angelina,1
19,Morgan,Louviere,Sophomore,P,27,17,3,12,2,0.882,0,0,0,0,0,0,Angelina,1
13,Tasha,Pierce,Sophomore,IF,3,1,1,0,0,1,0,0,0,0,0,0,Angelina,1
25,Gianna,Wade,Sophomore,P,14,4,1,3,0,1,0,0,0,0,0,0,Angelina,1
9,Emily,Kristynik,Sophomore,,50,196,167,25,4,0.98,0,33,13,0.283,11,1,Blinn,1
7,Caitlyn,Stevens,Sophomore,,50,196,162,23,11,0.944,8,19,2,0.095,11,0,Blinn,1
18,Erynne,Castillo,Freshman,OF,50,122,114,5,3,0.975,3,0,0,0,0,0,Blinn,1
13,Alayna,Calvillo,Freshman,INF/OF,46,116,109,7,0,1,3,0,0,0,0,0,Blinn,1
22,Alyssa,Boozy,Freshman,1B/DP,33,87,85,1,1,0.989,2,0,0,0,0,0,Blinn,1
10,Madeline,Stephenson,Sophomore,,50,133,78,49,6,0.955,8,0,0,0,0,0,Blinn,1
4,Skylar,Shanahan,Sophomore,P/UT,43,75,65,3,7,0.907,1,0,0,0,0,0,Blinn,1
12,Ripley,Welker,Freshman,INF/OF,44,112,53,46,13,0.884,4,0,0,0,0,0,Blinn,1
8,Kenley,Strange,Sophomore,IF,21,63,32,27,4,0.937,2,0,0,0,0,0,Blinn,1
24,Madison,Dorrow,Freshman,P/2B/3B,33,56,21,30,5,0.911,4,0,0,0,0,0,Blinn,1
20,Haley,Rust,Freshman,1B/OF,31,22,20,0,2,0.909,0,0,0,0,0,0,Blinn,1
15,Michyla,Saenz,Sophomore,OF,24,20,18,1,1,0.95,1,0,0,0,0,0,Blinn,1
11,Madyson,Henley,Freshman,C,8,15,14,1,0,1,0,5,2,0.286,0,0,Blinn,1
6,Chloee,Mason,Sophomore,P,24,38,7,28,3,0.921,0,0,1,1,0,0,Blinn,1
3,Kailey,Eldridge,Sophomore,P,15,12,5,6,1,0.917,0,0,0,0,0,0,Blinn,1
19,Shae,Fontenot,Freshman,C/OF,8,3,2,0,1,0.667,0,0,0,0,0,0,Blinn,1
2,Camdyn,Shugart,Freshman,P/UT,6,4,1,3,0,1,0,0,0,0,0,0,Blinn,1
14,Peyton,Welker,Freshman,P,22,13,1,11,1,0.923,0,0,0,0,0,0,Blinn,1
16,Sydnie,Cline,Freshman,P/UT,15,8,0,8,0,1,0,0,0,0,0,0,Blinn,1
24,Gracie,Bellard,Sophomore,C/UTL,48,222,215,5,2,0.991,0,0,0,0,0,0,Bossier Parish,1
31,Skylar,Heger,Freshman,C/UT,51,210,203,0,7,0.967,1,0,0,0,0,0,Bossier Parish,1
74,Fia,Tofi,Sophomore,IF,47,150,145,3,2,0.987,0,0,0,0,0,0,Bossier Parish,1
14,Frances,Robinson,Sophomore,C/UT,36,143,138,2,3,0.979,0,0,0,0,0,0,Bossier Parish,1
17,Serena,Hopkins,Freshman,C/OF,46,131,126,5,0,1,0,2,1,0.333,0,0,Bossier Parish,1
33,Makinzie,Stutts,Freshman,,57,168,84,72,12,0.929,0,0,0,0,0,0,Bossier Parish,1
15,Taysia,Constantino,Freshman,IF,60,174,70,89,15,0.914,0,0,0,0,0,0,Bossier Parish,1
7,Piper,Garcia,Freshman,OF,61,74,70,3,1,0.986,0,0,0,0,0,0,Bossier Parish,1
44,Briana,DeLeon,Freshman,IF,61,173,64,100,9,0.948,1,0,0,0,0,0,Bossier Parish,1
9,Madison,Ruiz,Freshman,OF,60,61,51,7,3,0.951,0,0,0,0,0,0,Bossier Parish,1
4,McKenzie,Vestal,Freshman,IF,53,43,41,2,0,1,0,0,0,0,0,0,Bossier Parish,1
1,Brielle,Moreno,Freshman,,35,42,12,30,0,1,0,0,0,0,0,0,Bossier Parish,1
3,Macie,LaRue,Freshman,P,27,16,7,9,0,1,0,2,1,0.333,0,0,Bossier Parish,1
22,Mallory,Pitre,Sophomore,P,35,25,5,19,1,0.96,0,0,0,0,0,0,Bossier Parish,1
28,Debra,Tofi,Freshman,IF,48,14,5,6,3,0.786,0,0,0,0,0,0,Bossier Parish,1
2,Graccee,Godfrey,Freshman,C,15,3,1,2,0,1,0,0,0,0,0,0,Bossier Parish,1
10,Morgan,Benge,Freshman,P/OF,10,3,0,3,0,1,0,0,0,0,0,0,Bossier Parish,1
11,Rylee,Glenn,Freshman,P,18,7,0,6,1,0.857,0,0,0,0,0,0,Bossier Parish,1
99,Olivia,Ross,Freshman,P,20,12,0,11,1,0.917,0,0,0,0,0,0,Bossier Parish,1
17,Jaymie,Gonzales,Freshman,C,28,107,91,7,9,0.916,3,0,0,0,1,0,Coastal Bend,1
23,Molly,Olivarez,Freshman,C,30,80,66,10,4,0.95,1,3,0,0,9,0,Coastal Bend,1
4,Kelsey,Perez,Freshman,OF,30,69,63,2,4,0.942,1,0,0,0,0,0,Coastal Bend,1
22,Kayla,Martinez,Sophomore,IF,22,76,61,3,12,0.842,1,0,0,0,0,0,Coastal Bend,1
13,Janice,Corona,Freshman,IF,29,92,41,35,16,0.826,2,0,0,0,0,0,Coastal Bend,1
21,Lesly,Gonzalez,Freshman,IF,21,39,34,1,4,0.897,0,0,0,0,0,0,Coastal Bend,1
7,Danielle,Pompa,Freshman,,30,52,32,15,5,0.904,3,0,0,0,0,0,Coastal Bend,1
14,Krystal,Perez,Freshman,IF,27,68,28,32,8,0.882,0,0,0,0,0,0,Coastal Bend,1
19,Juliana,Dominguez,Sophomore,IF,29,70,27,32,11,0.843,2,0,0,0,0,0,Coastal Bend,1
5,Leilani,Cruz,Freshman,OF,8,13,11,0,2,0.846,0,0,0,0,0,0,Coastal Bend,1
11,Debra,Favors,Freshman,P,14,22,9,9,4,0.818,1,0,0,0,0,0,Coastal Bend,1
8,Emma,Garcia,Freshman,P,15,16,8,8,0,1,0,0,0,0,0,0,Coastal Bend,1
12,Isellia,Gutierrez,Sophomore,IF,11,13,6,3,4,0.692,2,0,0,0,0,0,Coastal Bend,1
18,Kaydence,Benitez,Freshman,IF,1,5,5,0,0,1,1,0,0,0,0,0,Coastal Bend,1
15,Krystal,Kutach,Freshman,IF,7,15,5,4,6,0.6,1,0,0,0,0,0,Coastal Bend,1
24,Elia,Palomo,Sophomore,C,16,10,5,3,2,0.8,1,0,0,0,0,0,Coastal Bend,1
1,Jayln,Salazar,Freshman,OF,8,8,5,2,1,0.875,1,0,0,0,0,0,Coastal Bend,1
9,Leann,Castro,Freshman,OF,5,3,2,0,1,0.667,0,0,0,0,0,0,Coastal Bend,1
2,Anamelia,Ramirez,Freshman,OF,4,2,0,0,2,0,0,0,0,0,0,0,Coastal Bend,1
21,Maria,Andrade,Sophomore,NA,47,243,224,17,2,0.992,0,23,12,0.343,1,0,Galveston,1
18,Tallulah,Civoniceva,Freshman,NA,45,237,215,14,8,0.966,0,0,0,0,0,0,Galveston,1
1,Kamyrn,Cottrell,Sophomore,NA,49,92,87,4,1,0.989,0,0,0,0,0,0,Galveston,1
9,Jessica,Munro,Freshman,NA,49,91,85,3,3,0.967,0,0,0,0,0,0,Galveston,1
14,Samantha,Gonzalez,Freshman,NA,38,109,70,37,2,0.982,2,0,0,0,0,0,Galveston,1
4,Emily,Parks,Freshman,NA,46,143,65,64,14,0.902,3,0,0,0,0,0,Galveston,1
17,Aviana,Gonzalez,Sophomore,NA,45,129,46,76,7,0.946,1,0,0,0,0,0,Galveston,1
5,Hannah,Griffith,Freshman,NA,41,46,43,1,2,0.957,0,0,0,0,0,0,Galveston,1
7,Amaya,Foxover,Freshman,NA,15,39,29,10,0,1,0,0,0,0,0,0,Galveston,1
24,Gabriella,Guzman,Sophomore,NA,48,53,27,20,6,0.887,0,0,2,1,0,0,Galveston,1
3,Bryley,Westfahl,Freshman,NA,14,27,19,4,4,0.852,0,3,2,0.4,0,0,Galveston,1
11,Emily,Palacio,Freshman,NA,8,17,11,6,0,1,1,0,0,0,0,0,Galveston,1
2,Jasmine,Pena,Sophomore,NA,19,13,10,2,1,0.923,1,0,0,0,0,0,Galveston,1
23,Natalia,Watkins,Sophomore,NA,7,7,7,0,0,1,0,0,0,0,0,0,Galveston,1
15,Karlie,Barba,Freshman,NA,49,23,5,18,0,1,0,0,0,0,0,0,Galveston,1
22,Madelyn,Flores,Sophomore,NA,3,1,1,0,0,1,0,0,0,0,0,0,Galveston,1
10,Abigayle,Woodson,Freshman,NA,16,9,1,8,0,1,1,0,0,0,0,0,Galveston,1
7,Haylei,Acosta,Freshman,C,39,150,144,2,4,0.973,0,0,1,1,0,0,Kilgore,1
6,Akyshia,Cotrell,Freshman,OF,39,117,81,3,33,0.718,1,0,0,0,0,0,Kilgore,1
3,Kei'Adriah,Lister,Freshman,UT,40,89,78,2,9,0.899,1,0,0,0,0,0,Kilgore,1
8,Emalynn,Redmann,Sophomore,MI,42,94,78,6,10,0.894,1,0,0,0,0,0,Kilgore,1
13,Brooklyn,Malone,Freshman,OF,42,74,68,1,5,0.932,0,0,0,0,0,0,Kilgore,1
21,Melissa,Gress,Sophomore,OF,43,81,56,14,11,0.864,1,0,0,0,0,0,Kilgore,1
11,Jocy,Suarez,Freshman,3B,26,50,46,1,3,0.94,0,0,0,0,0,0,Kilgore,1
15,Alissa,McClellan,Freshman,3B,40,50,41,0,9,0.82,0,0,0,0,0,0,Kilgore,1
2,Koletta,Galvan,Freshman,OF,17,32,31,0,1,0.969,0,0,0,0,0,0,Kilgore,1
5,Trinity,Edwards,Freshman,OF,36,32,28,0,4,0.875,0,0,0,0,0,0,Kilgore,1
10,Taylor,Johnson,Freshman,OF,30,23,21,0,2,0.913,0,0,0,0,0,0,Kilgore,1
22,Katelyn,Segura,Sophomore,P,32,27,19,2,6,0.778,1,0,0,0,0,0,Kilgore,1
25,Isabella,Garley,Freshman,P,7,19,14,2,3,0.842,0,0,0,0,0,0,Kilgore,1
20,Kaylee,Schmitz,Freshman,P,23,19,14,3,2,0.895,1,0,0,0,0,0,Kilgore,1
19,Brooklyn,Pope,Freshman,P,13,6,5,0,1,0.833,0,0,0,0,0,0,Kilgore,1
16,Olivia,Gilzow,Freshman,P,17,7,4,1,2,0.714,0,0,1,1,0,0,Kilgore,1
17,Dalah,Montgomery,Freshman,3B,17,2,1,1,0,1,0,0,0,0,0,0,Kilgore,1
