no,first_name,last_name,yr,pos,g,ab,r,h,x2b,x3b,hr,rbi,bb,k,sb,cs,avg,obp,slg,hbp,sf,sh,tb,xbh,hdp,go,fo,go_fo,pa,team_name,division
1,Valerie,Joaquin,Freshman,IF,62,207,50,74,11,1,0,26,23,21,20,2,0.357,0.423,0.42,2,2,4,87,12,2,48,41,1.17,238,Arizona Western,1
10,Mollie,Forbes,Freshman,RHP/OF,53,145,30,47,8,0,5,30,10,20,3,0,0.324,0.363,0.483,0,2,1,70,13,0,18,49,0.37,158,Arizona Western,1
12,Ariana,Montiel,Freshman,UTL,10,3,4,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333,0,0,0,1,0,0,1,0,0,3,Arizona Western,1
14,Summer,Simpson,Freshman,RHP/INF,22,2,1,1,0,0,0,0,0,0,0,0,0.5,0.667,0.5,1,0,0,1,0,0,0,0,0,3,Arizona Western,1
16,Emily,Gamboa,Freshman,RHP/INF,36,69,9,24,5,0,0,16,6,14,0,0,0.348,0.39,0.42,0,2,1,29,5,2,9,13,0.69,78,Arizona Western,1
17,Abigail,Ibarra,Sophomore,OF,54,143,39,43,17,2,8,29,18,29,3,0,0.301,0.382,0.615,2,2,1,88,27,1,19,33,0.58,166,Arizona Western,1
18,Elisa,Garcia,Sophomore,RHP/INF,13,8,0,1,1,0,0,1,0,2,0,0,0.125,0.125,0.25,0,0,0,2,1,0,2,1,2,8,Arizona Western,1
2,Desiree,Moran,Sophomore,C,60,198,60,78,29,2,4,35,11,23,5,0,0.394,0.426,0.621,3,4,0,123,35,0,29,56,0.52,216,Arizona Western,1
20,Tanya,Bassig,Sophomore,C/INF,24,10,1,3,0,0,0,2,0,3,0,0,0.3,0.364,0.3,1,0,0,3,0,0,1,3,0.33,11,Arizona Western,1
21,Kimberly,Valenzuela,Sophomore,C/INF,41,71,9,22,2,0,0,7,5,5,1,0,0.31,0.355,0.338,0,0,1,24,2,4,19,14,1.36,77,Arizona Western,1
23,GiGi,Garcia,Freshman,IF,57,156,40,62,11,1,18,50,14,28,6,3,0.397,0.451,0.827,2,1,0,129,30,3,19,35,0.54,173,Arizona Western,1
24,Jessie,Garcia,Freshman,RHP/INF,60,171,34,70,15,0,15,59,27,19,0,0,0.409,0.485,0.76,1,3,0,130,30,2,32,38,0.84,202,Arizona Western,1
25,Jasmine,Molina,Sophomore,RHP/IF,34,89,13,30,7,0,1,22,5,9,1,0,0.337,0.372,0.449,0,0,1,40,8,2,14,27,0.52,95,Arizona Western,1
28,Tinley,Schmidgall,Sophomore,RHP/INF,58,191,36,88,20,0,14,59,9,9,1,0,0.461,0.49,0.785,5,3,0,150,34,6,25,50,0.5,208,Arizona Western,1
3,Jocelynn,Hernandez,Sophomore,IF/OF,21,13,14,1,0,0,0,0,2,3,0,0,0.077,0.2,0.077,0,0,1,1,0,0,3,5,0.6,16,Arizona Western,1
4,Sherlyn,Molina,Sophomore,RHP/OF,56,75,8,16,4,0,3,9,9,31,1,1,0.213,0.306,0.387,1,0,0,29,7,0,1,23,0.04,85,Arizona Western,1
5,Itzayana,Gonzalez,Freshman,IF,5,4,2,1,1,0,0,0,0,2,0,0,0.25,0.25,0.5,0,0,0,2,1,0,1,0,0,4,Arizona Western,1
7,Annette,Juarez,Sophomore,OF,31,8,15,3,1,0,1,2,1,2,2,2,0.375,0.444,0.875,0,0,0,7,2,0,1,1,1,9,Arizona Western,1
8,Natalie,Gonzalez,Freshman,C/OF,20,24,3,6,1,0,0,7,0,6,0,1,0.25,0.24,0.292,0,1,3,7,1,0,5,5,1,28,Arizona Western,1
9,Mackenzie,Barney,Freshman,IF,56,145,33,45,5,2,0,20,8,27,9,2,0.31,0.35,0.372,3,4,1,54,7,1,31,26,1.19,161,Arizona Western,1
1,Kyana,Vieux,Sophomore,NA,61,188,78,82,12,4,1,29,27,18,33,1,0.436,0.509,0.559,2,1,0,105,17,0,4,2,2,218,Central Arizona,1
11,Alivia,De la Cruz,Freshman,NA,50,139,58,63,7,3,0,30,20,15,37,0,0.453,0.519,0.547,0,1,0,76,10,0,0,0,0,160,Central Arizona,1
12,Hannah,Nordby,Freshman,NA,20,41,12,14,3,0,1,9,3,12,0,0,0.341,0.4,0.488,1,0,0,20,4,0,0,1,0,45,Central Arizona,1
13,Marina,Acedo,Sophomore,NA,45,121,30,40,4,1,1,17,4,19,4,0,0.331,0.379,0.405,6,1,1,49,6,0,4,4,1,133,Central Arizona,1
14,Megan,Reichley,Freshman,NA,25,56,15,23,6,0,3,17,11,8,2,0,0.411,0.507,0.679,1,1,0,38,9,0,0,0,0,69,Central Arizona,1
16,Gabby,Escontrias,Freshman,NA,46,139,38,53,15,3,6,40,12,20,0,0,0.381,0.447,0.662,6,2,0,92,24,0,1,5,0.2,159,Central Arizona,1
18,Dezeray,Levario,Sophomore,NA,23,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Central Arizona,1
19,Sabrina,Garcia,Sophomore,NA,49,146,28,54,9,0,10,56,18,16,0,0,0.37,0.427,0.637,1,6,0,93,19,0,4,5,0.8,171,Central Arizona,1
20,Kiana,Villa,Freshman,NA,5,3,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4,Central Arizona,1
21,Lauren,Newlin,Freshman,NA,40,99,29,34,9,0,0,14,12,26,3,0,0.343,0.417,0.434,2,2,0,43,9,0,0,0,0,115,Central Arizona,1
22,Asiah,Bell,Sophomore,NA,56,176,64,81,7,5,0,44,12,13,15,2,0.46,0.497,0.557,2,1,2,98,12,0,4,3,1.33,193,Central Arizona,1
24,Jessica,Mercado,Sophomore,NA,37,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,0,0,0,1,0,0,0,1,0,2,Central Arizona,1
26,Lisette,Urquidez,Sophomore,NA,53,162,36,64,11,2,9,51,10,26,0,0,0.395,0.427,0.654,2,4,0,106,22,0,2,2,1,178,Central Arizona,1
27,Marissa,Peraza,Freshman,NA,22,57,16,22,4,1,4,19,5,12,3,0,0.386,0.444,0.702,1,0,0,40,9,0,0,0,0,63,Central Arizona,1
28,Ashley,Fields,Sophomore,NA,55,140,27,45,13,2,10,48,23,46,2,0,0.321,0.413,0.657,1,3,0,92,25,0,0,2,0,167,Central Arizona,1
3,Katelyn,Westover,Freshman,NA,10,2,1,1,0,0,1,3,0,1,0,0,0.5,0.5,2,0,0,0,4,1,0,0,0,0,2,Central Arizona,1
5,Michelle,Salazar,Freshman,NA,38,99,23,38,9,1,7,27,5,13,0,0,0.384,0.43,0.707,3,0,0,70,17,0,1,1,1,107,Central Arizona,1
6,Kayla,Lopez,Sophomore,NA,32,45,23,7,1,2,1,6,6,14,5,0,0.156,0.269,0.333,1,0,1,15,4,0,0,1,0,53,Central Arizona,1
9,Kyra,Vieux,Sophomore,NA,52,131,35,58,13,5,3,38,15,12,15,1,0.443,0.497,0.687,0,1,0,90,21,1,2,5,0.4,147,Central Arizona,1
0,Bianca,Valverde,Freshman,OF,16,16,5,0,0,0,0,2,5,4,0,0,0,0.238,0,0,0,0,0,0,0,6,5,1.2,21,Eastern Arizona,1
1,Mariah,Cunningham,Freshman,OF,60,204,72,73,17,9,3,26,27,26,25,2,0.358,0.436,0.574,3,2,0,117,29,0,28,53,0.53,236,Eastern Arizona,1
11,Nohealani,Akana,Sophomore,SS/U,41,112,31,43,11,2,4,26,9,19,18,4,0.384,0.43,0.625,0,0,0,70,17,0,19,17,1.12,121,Eastern Arizona,1
12,Analosa,Laolagi,Freshman,1B,32,71,18,29,11,0,5,25,4,12,0,1,0.408,0.475,0.775,5,0,2,55,16,0,9,10,0.9,82,Eastern Arizona,1
13,Cheyenne,Cunningham,Sophomore,2B,38,91,27,30,9,1,0,15,16,15,4,0,0.33,0.446,0.451,4,1,1,41,10,0,15,22,0.68,113,Eastern Arizona,1
16,Madison,Chavez,Sophomore,3B,32,52,15,15,1,0,0,13,2,9,2,1,0.288,0.339,0.308,2,0,1,16,1,0,13,14,0.93,57,Eastern Arizona,1
18,Aubrey,Garbarek,Sophomore,2B,21,51,9,17,6,0,0,10,2,15,0,0,0.333,0.358,0.451,0,0,0,23,6,1,11,5,2.2,53,Eastern Arizona,1
21,Mieya,Andres,Sophomore,OF,24,40,8,15,3,0,1,9,3,7,3,0,0.375,0.435,0.525,2,1,0,21,4,0,8,10,0.8,46,Eastern Arizona,1
24,Cassidy,Morrow,Sophomore,3B/1B,62,196,54,93,20,2,17,68,17,19,5,1,0.474,0.519,0.857,2,1,0,168,39,1,32,38,0.84,216,Eastern Arizona,1
27,Lauren,Salcido,Sophomore,P,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Eastern Arizona,1
3,Charlotte,Velasquez,Sophomore,C,44,111,16,29,7,0,3,21,19,17,2,0,0.261,0.379,0.405,2,0,0,45,10,0,22,27,0.81,132,Eastern Arizona,1
32,Emma,Roach,Sophomore,OF,61,185,53,68,20,1,0,36,27,20,5,0,0.368,0.459,0.486,5,1,0,90,21,0,40,32,1.25,218,Eastern Arizona,1
34,Ashtyn,Schuh,Freshman,OF,13,16,4,1,0,0,1,3,3,4,1,0,0.063,0.211,0.25,0,0,0,4,1,0,3,5,0.6,19,Eastern Arizona,1
4,Jaileen,Mancha,Sophomore,P,40,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,Eastern Arizona,1
47,Savannah,Clausen,Sophomore,SS,58,186,56,89,23,3,19,81,20,16,10,0,0.478,0.526,0.941,1,2,2,175,45,0,32,36,0.89,211,Eastern Arizona,1
5,Braelynn,Kaulu Choyfoo,Freshman,U,39,81,30,29,4,0,2,13,14,8,9,1,0.358,0.453,0.481,0,0,2,39,6,0,16,18,0.89,97,Eastern Arizona,1
6,Jaylene,Tomlinson,Freshman,3B,61,198,67,70,21,5,5,58,26,12,9,0,0.354,0.431,0.586,4,4,0,116,31,1,26,63,0.41,232,Eastern Arizona,1
7,Angelina,Santiago,Freshman,OF,9,6,2,1,0,0,0,3,2,0,1,0,0.167,0.444,0.167,1,0,0,1,0,0,1,2,0.5,9,Eastern Arizona,1
9,Alexandra,Genty,Freshman,OF,53,136,25,28,4,2,2,32,8,22,8,0,0.206,0.255,0.309,2,3,1,42,8,0,28,36,0.78,150,Eastern Arizona,1
1,Elise,Munoz,Sophomore,OF,59,196,76,89,26,3,1,40,29,17,26,2,0.454,0.544,0.633,12,2,2,124,30,0,1,1,1,241,Pima,1
10,Stephanie,Tapia,Sophomore,INF,60,151,55,44,13,0,14,55,43,52,2,0,0.291,0.463,0.656,6,1,1,99,27,0,0,1,0,202,Pima,1
11,Jazlyn,Felix,Freshman,OF,18,8,11,1,0,0,0,1,0,4,2,1,0.125,0.111,0.125,0,1,0,1,0,0,0,0,0,9,Pima,1
12,Mia,Casadei,Sophomore,OF,60,165,43,59,15,3,3,37,17,24,2,2,0.358,0.43,0.539,4,0,4,89,21,0,3,1,3,190,Pima,1
15,Missey,Galloway,Freshman,OF,19,6,7,1,0,0,0,0,1,1,2,0,0.167,0.375,0.167,1,0,0,1,0,1,1,0,0,8,Pima,1
16,Genesis,Zazueta,Freshman,RHP,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pima,1
19,Mallory,Zylinski-Wrobel,Freshman,C/INF,56,163,54,63,14,1,13,73,22,11,0,0,0.387,0.48,0.724,11,4,1,118,28,1,2,1,2,201,Pima,1
20,Alissandra,Montiel,Sophomore,RHP,16,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Pima,1
21,Alejandra,Castro,Sophomore,1B/C,52,148,47,49,16,1,7,42,28,16,1,0,0.331,0.455,0.595,8,3,1,88,24,0,1,3,0.33,188,Pima,1
23,Desirre,Miranda,Freshman,1B,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Pima,1
25,Alexis,Tsosie-Hood,Freshman,P,24,42,7,16,3,0,1,10,5,4,0,0,0.381,0.447,0.524,0,0,0,22,4,0,0,3,0,47,Pima,1
26,Maria,Galloway,Freshman,P/INF,17,7,1,1,1,0,0,1,0,2,0,0,0.143,0.143,0.286,0,0,0,2,1,1,0,0,0,7,Pima,1
3,Jasmine,Majonica,Freshman,INF/OF,48,51,16,13,1,1,0,7,2,10,5,0,0.255,0.309,0.314,2,0,2,16,2,0,0,0,0,57,Pima,1
4,Camila,Zepeda,Freshman,INF,60,209,67,86,23,2,7,72,15,21,3,0,0.411,0.448,0.641,3,5,2,134,32,1,0,3,0,234,Pima,1
5,Mina,Chacon,Freshman,INF,59,192,63,74,12,1,10,60,17,18,12,5,0.385,0.431,0.615,0,2,0,118,23,0,0,1,0,211,Pima,1
6,Analisa,Gomez,Sophomore,INF,60,208,63,73,13,4,2,37,24,29,6,1,0.351,0.421,0.481,4,4,4,100,19,0,2,1,2,244,Pima,1
7,Wendy,Castro,Sophomore,LHP,36,76,15,26,5,0,4,24,3,8,0,0,0.342,0.367,0.566,0,0,1,43,9,1,0,0,0,80,Pima,1
8,Madison,Fillman-Moreno,Freshman,OF,38,77,21,30,8,1,4,24,15,13,3,1,0.39,0.495,0.675,1,0,2,52,13,0,0,2,0,95,Pima,1
0,Maritza,Celaya,Freshman,INF,23,77,11,13,3,0,0,5,8,38,0,0,0.169,0.264,0.208,2,0,0,16,3,2,0,0,0,87,Yavapai,1
10,Chesnea,Larimore,Freshman,OF/UTL,35,84,8,14,2,0,0,7,7,31,1,0,0.167,0.255,0.19,3,0,0,16,2,2,0,0,0,94,Yavapai,1
12,Aly,Savage,Freshman,UTL,48,127,19,43,8,0,1,27,12,15,1,0,0.339,0.421,0.425,6,0,1,54,9,1,0,0,0,146,Yavapai,1
14,Brina,Lankford,Freshman,C,39,100,12,37,4,1,2,24,9,16,1,2,0.37,0.432,0.49,2,0,0,49,7,5,0,0,0,111,Yavapai,1
16,Mackenzie,Irving,Freshman,OF,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Yavapai,1
18,Darby,Kramp,Freshman,UTL,48,127,45,50,17,1,13,42,25,21,1,0,0.394,0.51,0.85,5,0,0,108,31,0,0,0,0,157,Yavapai,1
2,Abbie,Bean,Freshman,P,27,2,1,1,1,0,0,1,0,0,0,1,0.5,0.5,1,0,0,0,2,1,0,0,0,0,2,Yavapai,1
22,Genavie,Espinoza,Sophomore,P/UTL,47,144,28,60,13,2,3,26,7,16,0,0,0.417,0.447,0.597,1,0,0,86,18,1,0,0,0,152,Yavapai,1
4,Shiya,Romero,Freshman,P/OF,21,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yavapai,1
5,Meghan,Kelly,Freshman,OF,47,153,40,61,17,7,10,39,6,38,7,0,0.399,0.419,0.797,0,1,1,122,34,1,0,0,0,161,Yavapai,1
6,Amanda,Pay,Freshman,C,48,138,35,53,9,1,6,29,8,13,2,0,0.384,0.426,0.594,2,0,0,82,16,3,0,0,0,148,Yavapai,1
7,Sydney,Jones,Sophomore,C/UTL,37,87,16,19,2,1,1,12,14,42,3,0,0.218,0.346,0.299,3,0,0,26,4,1,0,0,0,104,Yavapai,1
9,Torie,Au,Freshman,UTL,48,158,46,74,23,2,6,36,11,6,10,0,0.468,0.506,0.753,1,0,0,119,31,0,0,0,0,170,Yavapai,1
0,Katelyn,Janes,Sophomore,IF,1,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0,0,0,1,0,0,0,0,0,3,Connors State,1
1,Jaelyn,Robertson,Freshman,IF,35,101,16,25,6,0,2,21,3,22,4,0,0.248,0.276,0.366,1,0,0,37,8,0,0,0,0,105,Connors State,1
10,Madison,Kahn,Sophomore,OF,42,122,26,33,6,0,4,29,12,22,10,0,0.27,0.35,0.418,4,2,1,51,10,0,0,0,0,141,Connors State,1
11,Caitlyn,Collier,Sophomore,P,23,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Connors State,1
12,Karley,Fewel,Sophomore,,44,139,26,43,11,1,4,32,13,24,0,0,0.309,0.388,0.489,6,2,1,68,16,0,0,0,0,161,Connors State,1
13,Trinity Skye,Brooksher,Sophomore,IF,24,85,19,27,1,2,0,9,9,18,12,2,0.318,0.383,0.376,0,0,0,32,3,0,2,1,2,94,Connors State,1
14,Jadyn,Muns,Freshman,IF,48,172,48,62,12,0,9,29,14,22,21,0,0.36,0.413,0.587,2,1,0,101,21,0,1,0,0,189,Connors State,1
17,Payton,Shelton,Sophomore,P,2,3,0,0,0,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,4,Connors State,1
18,Brooklyn,Brown,Freshman,IF,22,64,11,12,2,0,1,5,4,20,1,0,0.188,0.239,0.266,1,2,1,17,3,0,0,0,0,72,Connors State,1
20,Ashlee,Piraneo,Freshman,OF,23,73,12,21,4,0,0,8,5,9,1,0,0.288,0.333,0.342,0,0,0,25,4,0,0,0,0,78,Connors State,1
22,Ralea,Brooksher,Freshman,UT,6,14,2,1,0,0,0,2,1,3,0,0,0.071,0.125,0.071,0,1,1,1,0,0,1,2,0.5,17,Connors State,1
3,Jaci,Armond,Sophomore,OF,44,142,37,65,4,1,0,12,12,15,29,1,0.458,0.497,0.5,0,1,0,71,5,0,0,0,0,155,Connors State,1
30,Addisyn,Dalton,Freshman,C,44,118,12,23,6,0,1,16,12,18,1,0,0.195,0.27,0.271,2,5,3,32,7,0,0,0,0,140,Connors State,1
4,Gracie,Britten,Sophomore,INF,46,142,31,39,10,0,5,30,25,15,2,0,0.275,0.401,0.451,5,0,1,64,15,0,0,0,0,173,Connors State,1
5,Payton,Dickerson,Freshman,OF,44,129,28,39,4,1,7,31,18,29,7,1,0.302,0.38,0.512,0,3,2,66,12,0,1,1,1,152,Connors State,1
7,Brooke,Wyatt,Freshman,P,23,3,1,1,1,0,0,0,0,1,0,0,0.333,0.333,0.667,0,0,0,2,1,0,1,0,0,3,Connors State,1
8,Meliah,Hunter,Sophomore,P,23,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,Connors State,1
9,Anna,Green,Freshman,UT,15,41,5,5,1,0,1,3,4,19,0,0,0.122,0.204,0.22,1,3,1,9,2,0,0,0,0,50,Connors State,1
0,Melaina,Heaton,Freshman,OF,16,5,9,1,0,1,0,0,0,0,4,0,0.2,0.2,0.6,0,0,0,3,1,0,3,0,0,5,Eastern Oklahoma State,1
1,Hailey,Vela,Freshman,MI,52,180,60,71,9,1,4,28,25,13,5,1,0.394,0.473,0.522,2,0,0,94,14,0,40,34,1.18,207,Eastern Oklahoma State,1
10,McKinley,Feazle,Sophomore,MI/RHP,52,171,42,52,4,3,7,26,14,25,4,0,0.304,0.354,0.485,1,3,2,83,14,0,38,25,1.52,191,Eastern Oklahoma State,1
11,Sydney,Linscott,Sophomore,3B/OF,13,16,2,4,1,0,0,2,1,5,0,0,0.25,0.263,0.313,0,2,0,5,1,0,0,5,0,19,Eastern Oklahoma State,1
12,Jayden,Haney,Freshman,UT,26,5,16,1,0,0,0,0,0,2,3,0,0.2,0.2,0.2,0,0,1,1,0,0,1,1,1,6,Eastern Oklahoma State,1
13,Keeley,Johnson,Freshman,C,52,140,28,37,6,0,9,39,11,38,4,0,0.264,0.316,0.5,0,1,1,70,15,1,16,32,0.5,153,Eastern Oklahoma State,1
14,Morgan,Robison,Freshman,RHP/3B,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eastern Oklahoma State,1
16,Sydney,Hart,Freshman,UT,47,54,19,8,1,0,0,3,7,25,7,1,0.148,0.246,0.167,0,0,0,9,1,0,10,9,1.11,61,Eastern Oklahoma State,1
17,Makenzie,Martin,Freshman,RHP/1B,50,145,25,56,10,0,11,46,16,15,0,0,0.386,0.451,0.683,2,1,0,99,21,2,24,38,0.63,164,Eastern Oklahoma State,1
18,Madison,Martin,Sophomore,RHP,7,1,2,1,1,0,0,1,1,0,0,0,1,1,2,0,0,0,2,1,0,0,0,0,2,Eastern Oklahoma State,1
19,Brinn,Brassfield,Freshman,RHP,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,Eastern Oklahoma State,1
2,Braelyn,Blasengame,Freshman,MI/OF,52,141,37,39,10,1,2,15,10,36,4,0,0.277,0.323,0.404,1,3,2,57,13,0,16,35,0.46,157,Eastern Oklahoma State,1
20,Jena,Emerson,Freshman,OF,15,18,4,3,0,0,0,1,1,3,1,0,0.167,0.211,0.167,0,0,0,3,0,0,3,8,0.38,19,Eastern Oklahoma State,1
21,Ashton,Grogan,Freshman,OF,29,41,10,13,3,0,2,6,3,8,0,0,0.317,0.481,0.537,10,0,0,22,5,0,3,10,0.3,54,Eastern Oklahoma State,1
22,Bri,Harkins,Freshman,RHP/1B,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,Eastern Oklahoma State,1
24,Kylee,Anderson,Sophomore,RHP/1B,35,89,6,23,1,0,0,12,8,10,0,0,0.258,0.313,0.27,0,2,0,24,1,1,25,23,1.09,99,Eastern Oklahoma State,1
25,Braleigh,King,Freshman,C/1B,50,143,15,65,6,0,9,56,15,15,0,0,0.455,0.518,0.685,5,1,0,98,15,2,26,23,1.13,164,Eastern Oklahoma State,1
3,Hannah,Abeyta,Sophomore,OF,10,2,5,1,0,0,0,0,0,0,1,0,0.5,0.5,0.5,0,0,0,1,0,0,1,0,0,2,Eastern Oklahoma State,1
4,Brittany,Welch,Freshman,OF,43,112,27,34,2,0,4,21,14,12,2,0,0.304,0.388,0.429,2,1,3,48,6,1,19,36,0.53,132,Eastern Oklahoma State,1
5,Emily,Guynes,Freshman,UT,7,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Oklahoma State,1
6,Greenlee,Wells,Freshman,MI,52,166,49,64,14,1,14,59,20,25,0,0,0.386,0.464,0.735,6,2,0,122,29,0,26,45,0.58,194,Eastern Oklahoma State,1
7,Joely,Speer,Freshman,C,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Oklahoma State,1
8,Chloe,Brown,Freshman,RHP,32,9,1,1,0,0,0,2,0,6,0,0,0.111,0.2,0.111,1,0,0,1,0,0,1,0,0,10,Eastern Oklahoma State,1
9,Kinley,Barron,Freshman,3B,12,20,0,4,0,0,0,3,5,7,0,0,0.2,0.385,0.2,1,0,0,4,0,1,1,5,0.2,26,Eastern Oklahoma State,1
1,Ryleigh,Lynn,Freshman,"C, OF",42,47,12,9,1,0,0,7,1,11,4,1,0.191,0.235,0.213,2,1,1,10,1,0,0,0,0,52,Northeastern Oklahoma A&amp;M,1
10,Kendall,Hannon,Sophomore,"C, 1ST",56,146,31,56,14,0,15,58,31,17,0,0,0.384,0.495,0.788,3,2,3,115,29,0,0,0,0,185,Northeastern Oklahoma A&amp;M,1
11,Sarah,Campbell,Sophomore,"SS, 2ND",52,106,14,15,4,1,0,14,3,15,4,0,0.142,0.164,0.198,0,1,11,21,5,0,0,0,0,121,Northeastern Oklahoma A&amp;M,1
12,Madison,Lee,Sophomore,UTL,53,143,36,45,7,2,1,16,13,19,15,3,0.315,0.389,0.413,5,1,3,59,10,0,0,0,0,165,Northeastern Oklahoma A&amp;M,1
14,Kayla,Paulo,Sophomore,"P, 1ST",46,85,10,17,4,0,2,10,20,19,0,0,0.2,0.361,0.318,2,1,1,27,6,0,0,0,0,109,Northeastern Oklahoma A&amp;M,1
15,Felicity,Horn,Sophomore,"OF, C",56,155,29,53,6,0,6,34,24,17,1,2,0.342,0.433,0.497,1,0,3,77,12,0,0,0,0,183,Northeastern Oklahoma A&amp;M,1
17,Emilee,Evans,Freshman,P,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Northeastern Oklahoma A&amp;M,1
18,Grace,Goins,Freshman,UTL,29,29,1,5,0,0,0,4,6,9,0,0,0.172,0.333,0.172,2,2,0,5,0,0,0,0,0,39,Northeastern Oklahoma A&amp;M,1
2,Lillie,Johnson,Freshman,P,25,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Northeastern Oklahoma A&amp;M,1
20,Skyler,Wade,Freshman,P,36,89,6,18,4,0,1,10,8,11,0,0,0.202,0.273,0.281,1,1,1,25,5,0,0,0,0,100,Northeastern Oklahoma A&amp;M,1
22,Sydney,Price,Sophomore,UTL,49,105,18,31,9,1,1,19,10,19,2,1,0.295,0.368,0.429,2,0,3,45,11,0,0,0,0,120,Northeastern Oklahoma A&amp;M,1
25,Rachel,Arric,Freshman,1ST,12,13,2,1,0,0,1,3,3,6,0,0,0.077,0.25,0.308,0,0,0,4,1,0,0,0,0,16,Northeastern Oklahoma A&amp;M,1
27,Paige,Morrall,Sophomore,"C, 3RD",50,93,17,24,4,0,0,12,11,22,2,3,0.258,0.349,0.301,2,0,2,28,4,0,0,0,0,108,Northeastern Oklahoma A&amp;M,1
3,Hadley,Calico,Freshman,UTL,50,112,27,31,25,2,0,13,13,10,12,0,0.277,0.359,0.536,2,1,4,60,27,0,0,0,0,132,Northeastern Oklahoma A&amp;M,1
4,Elisa,Siri,Sophomore,OF,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Northeastern Oklahoma A&amp;M,1
5,Hope,Gotes,Freshman,INF,10,10,1,3,0,0,0,3,0,6,0,0,0.3,0.3,0.3,0,0,0,3,0,0,0,0,0,10,Northeastern Oklahoma A&amp;M,1
6,Destiny,Tune,Sophomore,UTL,52,128,18,30,5,0,1,13,11,14,8,2,0.234,0.293,0.297,0,1,4,38,6,0,0,0,0,144,Northeastern Oklahoma A&amp;M,1
7,Halle,Panter,Freshman,P,16,3,2,1,0,0,0,1,1,2,0,0,0.333,0.5,0.333,0,0,0,1,0,0,0,0,0,4,Northeastern Oklahoma A&amp;M,1
8,Kalan,Nye,Freshman,P,29,29,1,7,2,0,0,1,1,5,0,0,0.241,0.267,0.31,0,0,0,9,2,0,0,0,0,30,Northeastern Oklahoma A&amp;M,1
9,Payton,Compton,Sophomore,"3RD, UTL",51,180,50,66,19,2,9,34,14,24,9,2,0.367,0.416,0.644,2,1,0,116,30,0,0,0,0,197,Northeastern Oklahoma A&amp;M,1
10,Kaycee,Babek,Sophomore,,46,139,29,46,12,1,2,29,22,15,14,0,0.331,0.429,0.475,2,0,2,66,15,1,0,0,0,165,Northern Oklahoma Enid,1
11,Krista,Yackeyonny,Sophomore,OF,29,50,17,9,3,0,0,5,9,9,5,0,0.18,0.317,0.24,1,0,1,12,3,0,0,0,0,61,Northern Oklahoma Enid,1
13,Brook,Fleming,Sophomore,3B,46,145,33,49,10,2,8,42,16,17,1,0,0.338,0.406,0.6,2,2,0,87,20,0,0,0,0,165,Northern Oklahoma Enid,1
14,Chloe,Middleton,Sophomore,,43,112,26,30,7,0,10,32,8,37,6,1,0.268,0.328,0.598,2,0,0,67,17,0,0,0,0,122,Northern Oklahoma Enid,1
18,Adie,White,Freshman,C,29,81,11,21,6,0,1,11,11,3,0,0,0.259,0.358,0.37,2,1,0,30,7,0,0,1,0,95,Northern Oklahoma Enid,1
20,Camaryn,Alexander,Sophomore,,44,148,40,61,12,2,3,24,11,12,15,3,0.412,0.463,0.581,3,0,1,86,17,0,0,0,0,163,Northern Oklahoma Enid,1
